Shear strain %;Storage Modulus;Loss Modulus
0.00993;93014;8329.3
0.0134;93533;9579.8
0.0177;92985;9659.9
0.0236;94135;9292.1
0.0317;93273;9429.9
0.0422;92897;9748.1
0.0562;92139;10012
0.0753;89967;10668
0.101;88046;11201
0.134;85422;12487
0.18;81633;14097
0.241;76693;16191
0.318;70886;18583
0.422;64330;21238
0.561;56857;23482
0.738;48178;24482
0.996;39613;23348
1.32;33650;21458
1.77;28953;19722
2.35;24924;18666
3.14;19709;18937
4.2;14915;18139
5.61;11578;16324
7.49;8716.2;14321
9.99;6637.3;12275
